Ctry_Abb,Ctry_NmS,Area_SQKM,UN,ColorMap,Shape_Length,Shape_Area,administeredBy,contestedBy1,contestedBy2,contestedBy3,contestedBy4,contestedBy5,demonym,contestedRegion1,territoryTyp,recognized,inhabited,casulitiesContested,viablyContested,nameContested,contestedRegion2,autonomous,contestedRegion3
CBZ,Cyprus Buffer Zone,266,0,2,439189.388,397806477.4,United Nations,Cyprus,North Cyprus,Turkey,None,None,Cypriot,Cyprus,6,4,0,1,1,1974 Turkish Cypriot War,None,0,None
NCY,North Cyprus,10992,0,2,745474.9181,16593560887,Turkey,Cyprus,North Cyprus,None,None,None,Turkish Cypriot,Turkish Occupation of Cyprus,6,3,1,1,1,De Facto,None,0,None
ALS,Southeastern Algeria,11565,0,3,1134920.199,14849951093,Algeria,Libya,Tamazgha,Jama'at Nasr al-Islam wal Muslimin,None,None,Algerian,Berberism,6,4,1,1,1,Franco-Libyan Agreement 1956,None,0,Insurgency in the Maghreb
KAB,Kabylia,6308,0,3,577058.7657,9811893700,Algeria,Kabyles Nationalism,None,None,None,None,Kabyles,Berberism,2,4,1,1,1,UNPO Member,None,1,None
CPA,Cabinda,9235,0,1,513090.5568,9371607407,Angola,The Republic of Cabinda,None,None,None,None,The people of Cabinda,None,4,4,1,1,1,Ongoing Conflict,None,1,None
KLT,Lunda Tchokwe,576014,,1,4683048.602,6.11536E+11,Angola,Democratic Republic of Lunda Tchokwe,None,None,None,None,Lunda-Tchokwe People,None,4,4,1,1,1,1894 Treaty bwtween Congo and Portugal,None,0,None
BPM,Barbuda,3050,0,2,211026.5137,3377060741,Antigua and Brbuda,Barbudan Sepratists,None,None,None,None,Barbudan,None,2,4,1,0,0,1981 Constitution of Antigua and Barbuda,None,1,None
PAT,Argentine Patagonia,783408,0,8,8740455.769,1.61315E+12,Argentina,Patagonia,None,None,None,None,Patagonian,Mapuche Seccissionist,8,4,1,0,1,De Facto,None,0,None
FLK,Falkland Islands,46525,0,5,1602273.284,1.21275E+11,United Kingdom,Argentina,Patagonia,None,None,None,Falkland Islander,Las Malvinas,8,4,1,1,1,1816 Argentine Declaration of Independence,Patagonia,1,None
CHL,Chile,314981,1,3,5520748.417,4.51094E+11,Chile,None,None,None,None,None,Chilean,None,1,1,1,0,0,None,None,0,None
NAR,Nakhchivan Autonomous Republic,5391,0,4,522837.5212,9015228753,Azerbaijan,None,None,None,None,None,Nakhchivani,Azerbaijan,2,4,1,0,0,None,None,1,None
BGS,Banga Sena,13481,0,6,576626.9887,15818188983,Bangladesh,Banga Sena,None,None,None,None,Bangladeshi,Bangladeshi Hindu Sepratism,4,4,1,1,0,De Facto,None,0,None
FBL,Flanders,15148,0,4,1266800.32,38302730395,Belgium,Flanders,None,None,None,None,Flemish,None,4,4,1,0,1,Political Party,None,0,None
BEL,Belgium,194,1,4,85168.81367,484878403.7,Belgium,None,None,None,None,None,Belgian,None,1,1,1,0,0,None,None,0,None
GBB,Eastern Belgium,947,0,4,295930.8207,2331264495,Belgium,Eastern Belgium,None,None,None,None,Dutch Belgian,None,4,4,1,0,1,Political Party,None,0,None
SBZ,Southern Belize,10279,0,7,509755.5822,11259272534,Belize,Guatemala,None,None,None,None,Belizean,Guatemala-Belize Border,6,4,1,1,0,1859 Guatemala-UK Treaty,None,0,None
SPC,Sapodilla Cayes,2478,0,7,238126.0456,2702037051,Belize,Guatemala,None,None,None,None,Belizean,Guatemala-Belize Border,4,4,1,0,0,1859 Guatemala-UK Treaty,None,0,None
RSC,Santa Cruz,366784,0,2,3243439.154,4.0468E+11,Bolivia,Republic of Santa Cruz,None,None,None,None,Raizal,None,2,4,1,0,1,Ballot Proposition,None,1,None
YUK,Yukon,491329,0,4,8678656.966,2.52849E+12,Canada,None,None,None,None,None,Yukoner,None,3,4,1,0,0,None,None,1,None
NWT,Northwest Territories,1605553,0,4,20935115.34,1.20569E+13,Canada,None,None,None,None,None,Northwest Territorian,None,3,4,1,0,0,None,None,1,None
CAN,Canada,3904504,1,4,28904821.52,1.12711E+13,Canada,None,None,None,None,None,Canadian,None,1,1,1,0,0,None,None,0,None
TBS,"Tirpani, Bara Hotii, and Samdu",2786,0,5,631875.4694,3822434520,India,China (PRC),Xizang (Greater Tibet),China (ROC),None,None,Indian,Tibet,6,4,1,1,1,asdfasdfasdfa,None,1,China
PJK,Pakistani Jammu and Kashmir,11358,0,4,996984.3594,16548474995,Pakistan,Jammu and Kashmir,None,None,India,None,Jammuite and Kashimiris,None,8,4,1,1,1,Ongoing Military Conflict,None,1,Jammu and Kashmir
GGB,Gilgit-Baltistan,67589,0,4,1774030.941,1.02993E+11,Pakistan,Jammu and Kashmir,India,None,India,None,Jammuite and Kashimiris,Jammu and Kashmir,8,4,1,1,1,Ongoing Military Conflict,None,1,China
LEH,Leh,50249,0,5,1755209.903,73313430660,India,Jammu and Kashmir,Pakistan,None,None,None,Leh People,Jammu and Kashmir,8,4,1,1,1,Ongoing Military Conflict,Autonomous District of India,1,China
