Ctry_Abb,Ctry_NmS,Area_SQKM,UN,ColorMap,Shape_Length,Shape_Area,administeredBy,contestedBy1,contestedBy2,contestedBy3,contestedBy4,contestedBy5,demonym,contestedRegion1,territoryTyp,recognized,inhabited,casulitiesContested,viablyContested,nameContested,contestedRegion2,autonomous,contestedRegion3
VLK,Volkstaat,147538,0,7,2643263.022,2.01581E+11,South Africa,Volkstaat,None,None,None,None,South African,None,4,4,1,0,1,UNPO Member,None,0,None
VWC,Volkerstaat-Western Cape,27760,0,7,913026.6027,38475573650,South Africa,Western Cape,Volkstaate,None,None,None,South African,None,4,4,1,0,1,UNPO Member,None,0,None
SEC,Casamance,30933,0,8,1083987.286,32756383705,Senegal,Casamance,None,None,None,None,Senegalese,None,4,4,1,1,1,Ongoing Conflict,None,1,None
BAC,Bas-Congo,54048,0,4,1379831.75,54875762901,Congo (DRC),Bas-Congo,None,None,None,None,Bas-Congolese,None,4,4,1,0,1,Political Party,None,0,None
KAT,Katanga,363692,0,4,4053512.118,3.76565E+11,Congo (DRC),Katanga,None,None,None,None,Katangese,None,4,4,1,1,1,Ongoing Conflict,None,1,None
KVU,Kivu,254370,0,4,2765528.261,2.56756E+11,Congo (DRC),United Republic of Kivu,Allied Democratic Forces Insurgency,Lord's Resistance Army Insurgency,None,None,Congolese,None,4,4,1,1,1,Ongoing War,None,1,None
GNO,Bioko,9675,0,8,492771.4261,9769705976,Equatorial Guinea,Bioko,None,None,None,None,Equatoguinean,None,4,4,1,0,0,None,None,0,None
AFR,Afar,95942,0,4,1764161.68,1.00986E+11,Afar,Afar,Ogaden,None,None,None,Afar,None,4,4,1,1,1,Ongoing War,None,1,None
OGD,Ogaden,309904,0,4,3866983.094,3.16849E+11,Ethiopia,Ogaden,Afar,None,None,None,Somali,Somali Peoples,1,4,1,1,1,UNPO Member,None,1,None
TIG,Tigray,48815,0,4,1547721.754,52064458633,Ethiopia,Tigray,None,None,None,None,Tigrayan,None,4,4,1,1,1,Ongoing War,None,1,None
SID,Sidama,6716,0,4,441436.3563,6852970909,Ethiopia,Sidama,None,None,None,None,Sidama,None,4,4,1,0,0,None,None,0,None
ETH,Ethiopia,1377,1,4,6115836.097,3.49038E+11,Ethiopia,None,None,None,None,None,Ethiopian,None,1,1,1,0,0,None,None,0,None
FFD,French Flanders,2189,0,6,295102.7552,5532862832,France,French Flanders,Flanders,None,None,None,West Flemish,None,4,4,1,0,1,Flemish Movement,None,0,None
REU,Reunion,8368,0,6,359112.814,9666385261,France,Reunion,None,None,None,None,Réunionese,None,4,4,1,0,0,None,None,0,None
WTG,Western Togoland,29987,0,3,1743704.861,30862573588,Ghana,Western Togoland,None,None,None,None,Ghanaian,None,4,4,1,0,1,UNPO Member,None,0,None
KNM,Mombasa,98261,0,1,1858244.298,99158831511,Kenya,Mombasa,None,None,None,None,Mombasanese,None,1,1,1,0,0,None,None,0,None
MLI,Mali,429229,1,4,4131488.635,4.57202E+11,Mali,None,None,Jama'at Nasr al-Islam wal Muslimin,None,None,Malian,Insurgency in the Maghreb,1,1,1,1,1,Ongoing War,None,0,None
ROD,Rodrigues,2891,0,7,207946.3179,3279353135,Mauritius,None,None,None,None,None,Rodriguan,None,2,4,1,0,0,None,None,1,None
MRR,Rif,15428,0,5,870658.7786,23109959550,Morocco,Rif,None,None,None,None,Berber,Berberism,4,4,1,0,0,None,None,0,None
NAC,Caprivi,41326,0,3,1681812.467,46062068723,Namibia,Caprivi,None,None,None,None,Namibian,None,4,4,1,0,0,None,None,0,None
NER,Niger,496317,1,1,4719732.566,5.3479E+11,Niger,Boko Haram,None,Jama'at Nasr al-Islam wal Muslimin,None,None,Nigerian,Insurgency in the Maghreb,1,1,1,1,1,Ongoing War,None,0,None
BIF,Biafra,67594,0,6,1443472.943,68613653822,Nigeria,Biafra,Niger Delta,None,None,None,Bifran,None,4,4,1,0,1,Ongoing Military Conflict,None,0,None
NGB,Biafra,18901,0,6,752260.9048,19262857673,Nigeria,Biafra,None,None,None,None,Nigerian,None,4,4,1,0,0,None,None,0,None
NGD,Niger Delta,38564,0,6,906133.5066,39276162792,Nigeria,Niger Delta,None,None,None,None,Nigerian,None,4,4,1,1,1,Ongoing War,None,0,None
NGW,Western Africa,66945,0,6,1376214.934,68575350820,Nigeria,Oduduwa Autonomous Nation,None,None,None,None,Nigerian,None,4,4,1,0,0,UNPO Member,None,0,None
NGO,Oduduwa Autonomous Nation,16690,0,6,795800.9182,17041793770,Nigeria,Oduduwa Autonomous Nation,Niger Delta,None,None,None,Nigerian,None,4,4,1,0,0,None,None,0,None
RWB,Batwaland,5989,0,2,429620.8806,6037369296,Rwanda,Batwaland,None,None,None,None,Rwandan,None,4,4,1,0,0,None,None,0,None
ASS,Assam,50673,0,5,3101264.895,63495907224,India,Assam,None,None,None,None,Asamese,Assam,2,4,1,1,1,Ongoing Military Conflict,None,0,None
AKC,Aksai Chin,31842,0,2,1167496.543,47608974351,China (PRC),Jammu and Kashmir,Xizang (Greater Tibet),China (ROC),India,None,Aksai Chin People,Xizang (Greater Tibet),8,4,1,1,1,Ongoing Military Conflict,Jammu and Kashmir,1,China
SCV,Chinese Shaksam Valley,15097,0,2,881829.3069,23133705871,China (PRC),Jammu and Kashmir,None,China (ROC),India,East Turkistan,Shaksam Valley People,East Turkistan,8,4,1,1,1,Multiple,Jammu and Kashmir,1,China
CDK,Chinese Demchok,944,0,2,259163.3957,1344355976,China (PRC),Jammu and Kashmir,Xizang (Greater Tibet),China (ROC),India,None,Demchok People,Xizang (Greater Tibet),8,4,1,1,1,Ongoing Military Conflict,Jammu and Kashmir,1,China
IDD,Indian Demchok,539,0,5,173643.5844,763119038.7,India,Jammu and Kashmir,China (PRC),Xizang (Greater Tibet),Pakistan,China (ROC),Demchok People,Tibet,8,4,1,1,1,Ongoing Military Conflict,Jammu and Kashmir,1,China
PSV,Pakistani Shaksam Valley,4699,0,4,572655.3466,7189975383,Pakistan,Jammu and Kashmir,China (PRC),China (ROC),India,East Turkistan,Jammuite and Kashimiris,East Turkistan,8,4,1,1,1,Ongoing Military Conflict,Jammu and Kashmir,1,China
KTP,Kamtapur,15094,0,5,1460018.616,18710384247,India,Kamtapur,None,None,None,None,Kamtapuri,Kamtapur,1,4,1,1,1,Militant Organization,None,0,None
ASK,Assam Kamtapur,8297,0,5,760631.3382,10358561394,India,Assam,Kamtapur,None,None,None,Kamtapuri,Kamtapur,2,4,1,1,1,Ongoing Military Conflict,Autonomous District of India,1,Bodoland
NPK,Nepalese Kamtapur,1610,0,1,241957.1436,2020844331,Nepal,Kamtapur,None,None,None,None,Kamtapuri,Kamtapur,1,4,1,0,0,Exiled Militant Organization,None,0,None
PNJ,Punjab,49951,0,5,1479396.485,67976418157,India,Punjab,None,None,None,None,Punjabi,None,4,4,1,1,1,Multiple Militant,None,0,None
MNP,Manipur,19526,0,5,1248408.96,23736635937,India,Manipur,None,None,None,None,Manipuris,Manipur,4,4,1,1,1,Ongoing Military Conflict,None,0,None
NGL,Nagaland,16924,0,5,826383.7904,21059955420,India,Nagaland,None,None,None,None,Nagas,None,4,4,1,1,1,Ongoing Military Conflict,None,1,None
ACH,Aceh,135727,0,1,1670659.151,1.37315E+11,Indonesia,Aceh,None,None,None,None,Acehnese,None,2,4,1,1,1,UNPO Member,None,1,None
IDR,Riau,112950,0,1,1478467.672,1.13762E+11,Indonesia,Riau,None,None,None,None,Riau Malays,None,2,4,1,0,1,Gerakan Riau Merdeka,None,1,None
IDS,South Maluku,553268,0,1,3373974.12,5.62515E+11,Indonesia,Republic of South Maluku,None,None,None,None,Indonesian,None,4,4,1,0,1,UNPO Member,None,0,None
AWZ,Ahwazi,67999,0,6,1479152.525,93551111955,Iran,Arab Sepratists,None,None,None,None,Ahwazi Arab,None,4,4,1,1,1,Ongoing Conflict,None,0,None
ROJ,Rojava,9836,0,8,897032.138,15186534597,Syria,Rojava,Turkey,Islamic State of Iraq and the Levant,None,None,Syrian,ISIL Insurgency,4,4,1,1,1,Ongoing War,None,1,None
TKD,Turkish Kurdistan,164717,0,2,2919511.85,2.69207E+11,Turkey,Turkish Kurdistan,None,None,None,None,Kurdish,Kurdistan,4,4,1,1,1,Ongoing War,None,1,None
IAZ,Iranian Azerbaijan,79524,0,6,1886880.624,1.27698E+11,Iran,Azerbaijan,None,None,None,None,Azerbaijani,Azerbaijan,4,4,1,0,1,UNPO Member,None,0,None
IRB,Iranian Balochistan,185910,0,6,2609433.396,2.38891E+11,Iran,Balochistan,None,None,None,None,Iranian Baloch,Balochistan,4,4,1,1,1,Ongoing Military Conflict,None,0,None
PKB,Pakistani Balochistan,358889,0,4,4208627.462,4.64424E+11,Pakistan,Balochistan,None,None,None,None,Pakistani Baloch,Balochistan,4,4,1,1,0,Ongoing Military Conflict,None,0,None
AFB,Afghan Balochistan,57627,0,3,1605490.574,77285914254,Afghanistan,Balochistan,Taliban,None,None,None,Afghan Baloch,Balochistan,4,4,1,0,1,UNPO Member,None,0,None
SHD,Sind,146395,0,4,2190723.979,1.81902E+11,Pakistan,Sindhudesh,None,None,None,None,Sindhi,None,4,4,1,1,1,Sindhudesh Revolutionary Army,None,0,None
MYW,Sarawak,150855,0,6,2605319.504,1.52237E+11,Malaysia,Sarawak,None,None,None,None,Sarawak,None,4,4,1,0,1,Borneo Heritage Foundation,None,1,None
MYB,Sabah,109075,0,6,1667699.745,1.10847E+11,Malaysia,Sabah,None,None,None,None,Sabah,None,4,4,1,0,1,Borneo Heritage Foundation,None,1,None
MMS,Rakhine State,53559,0,8,1264328.231,60479962432,Myanmar,Rakhine State,None,None,None,None,Rakhine,None,4,4,1,0,0,None,None,0,None
MMC,Chin State,35686,0,8,1264802.222,41821034165,Myanmar,Chin State,Zale'n-gam,None,None,None,Burmese,None,4,4,1,0,0,None,None,0,None
KCH,Kachin State,89401,0,8,1856487.975,1.11338E+11,Myanmar,Kachin State,None,None,None,None,Katchin,None,4,4,1,1,1,Ongoing War,None,1,None
MMY,Kayin State,29717,0,8,1455880.195,32743875321,Myanmar,Kawthoolei,None,None,None,None,Karen,None,4,4,1,1,1,Ongoing War,None,1,None
MMK,Karenni,11760,0,8,524549.8936,13261599755,Myanmar,Karenni,None,None,None,None,Karenni,None,4,4,1,0,0,None,None,0,None
RAH,Northern Rakhine State,4202,0,8,403427.5841,4843818566,Myanmar,Rahmanland,None,None,None,None,Rohinga,None,4,4,1,1,1,Ongoing War,None,1,None
MMM,Mon State,16649,0,8,926122.7295,18179104029,Myanmar,Mon State,None,None,None,None,Mon,None,1,1,1,0,0,None,None,0,None
PLZ,Pa Laung Self-Administered Zone,125271,0,8,2862438.082,1.45619E+11,Myanmar,Shan State,Kokang,None,None,None,Palaung,Myanmar Self-Administered Zones,2,4,1,0,1,Militant Organization,None,1,Kokang
WSZ,Wa Self-Administered Zone,21693,0,8,1392962.498,25268055153,Myanmar,Wa State,None,None,None,None,Wa,Myanmar Self-Administered Zones,2,4,1,0,1,Militant Organization,None,1,None
NPT,Kirat ,23889,0,1,912491.2286,30346481618,Nepal,Kirat,None,None,None,None,Kirati,None,4,4,1,0,0,None,None,0,None
MAH,Madhesh,17605,0,1,1753459.546,22486572334,Nepal,Madhesh,None,None,None,None,Madheshi,None,4,4,1,0,1,UNPO Member,None,0,None
SUU,Sulu,14040,0,7,748600.5476,14285901567,Philippines,Bansa Sug,Bangsamoro,Philippine Drug War,None,None,Maranao,Bangsamoro,2,4,1,1,1,UNPO Member,None,1,None
BGK,Bangsang Kapampangan,8469,0,7,516998.1526,9160611215,Philippines,Philippine Drug War,None,None,None,None,Kapampangan,None,2,4,1,1,0,Ongoing Military Conflict,None,1,None
CAR,Cordillera Administrative Region,18232,0,7,784788.2256,20125293380,Philippines,Philippine Drug War,Communist Rebels,None,None,None,Ilocano,None,2,4,1,1,0,Ongoing Military Conflict,None,1,None
BGM,Bangsamoro,30864,0,7,2080303.022,31452572446,Philippines,Moro Conflict,Philippine Drug War,None,None,None,Maranao,Bangsamoro,4,4,1,1,1,Ongoing Military Conflict,None,1,None
RUE,Sakha,1035209,0,1,31427377.22,1.41164E+13,Russia,Siberian Republic,None,None,None,None,Siberian,Autonomous Russian Republics,2,4,1,0,1,Siberian regionalism,None,1,None
BRY,Buryatia,351014,0,1,6500678.585,9.97868E+11,Russia,Buryatia,Siberian Republic,Mongolia,None,None,Burat,Siberia,2,4,1,0,1,UNPO Member,Mongolia,1,Autonomous Russian Republics
RUO,Koryakia,379919,0,1,8039786.952,1.58896E+12,Russia,Koryak Autonomous Okrug,None,None,None,None,Koryak,None,4,4,1,0,0,Seeking Autonomy,None,0,None
RUP,Taymyrsky Dolgano-Nenetsky District,1490440,1,1,17084681.3,7.1768E+12,Russia,Siberian Republic,Taymyrsky Dolgano-Nenetsky District,None,None,None,Siberian,None,1,1,1,0,0,None,None,0,None
TYV,Tuva,167283,0,1,3677006.671,4.32265E+11,Russia,Tuva,Siberian Republic,Mongolia,None,None,Tuvan,Autonomous Russian Republics,2,4,1,0,0,UNPO Member,Mongolia,1,None
UOB,Ust-Orda Buryatia,22214,0,1,1884182.846,61994009418,Russia,Ust-Orda Buryatia,Siberian Republic,Mongolia,None,None,Buryat,Siberia,2,4,1,0,0,None,Mongolia,1,None
ABO,Agin Buryatia,19408,0,1,1351612.114,48877890051,Russia,Agin Buryatia,Mongolia,None,None,None,Burat,Mongolia,2,4,1,0,0,UNPO Member,None,1,None
RUM,Khanty-Mansi Autonomous Okrug,533992,0,1,9237735.632,2.39623E+12,Russia,Khanty-Mansi Autonomous Okrug,None,None,None,None,Russian,None,4,4,1,0,0,None,None,0,None
LKE,Tamil Eelam,44635,0,7,1762644.482,45936781160,Sri Lanka,Tamil Eelam,None,None,None,None,Tamil,None,4,4,1,1,1,Tamil Tigers,None,0,None
THP,Patani,26214,0,4,756581.8383,26764425586,Thailand,Pattani Darul Makrif,None,None,None,None,Thai,None,4,4,1,1,0,Ongoing Military Conflict,None,1,None
KRK,Karakalpakstan,172238,0,5,3203014.82,3.26509E+11,Uzbekistan,Republic of Karakalpakstan,None,None,None,None,Karakalpakstani,None,2,4,1,0,1,Constitution of Uzbekistan,None,1,None
VND,Mekong Delta,102841,0,3,1508266.636,1.0641E+11,Vietnam,Khmer Kom Nationalism,None,None,None,None,Vietnamese,None,4,4,1,0,1,UNPO Member,None,0,None
MVM,Central Highlands,55188,0,3,1307547.994,58586700256,Vietnam,Central Highlands,None,None,None,None,Montagnard,None,2,4,1,0,1,UNPO Member,None,1,None
HNY,Houthi North Yemen,113250,0,2,2205255.424,1.22446E+11,Yemen,Houthi North Yemen,Saudi Arabia,None,None,None,Houthi,None,4,4,1,1,1,Ongoing War,None,1,None
RPN,Easter Island,2993,0,3,225352.8938,3793083764,Chile,Rapa Nui,None,None,None,None,Rapa Nui,None,4,4,1,0,1,Rapa Nui,None,1,None
FRT,Overseas French Territories,48370,0,6,3094873.409,1.05315E+11,France,None,None,None,None,None,French,None,3,4,1,0,0,None,None,1,None
WLF,Wallis and Futuna,419579,0,6,3835400.774,4.4318E+11,France,None,None,None,None,None,Wallisian and Futunan,France,3,4,1,0,0,None,None,1,None
NCL,New Caledonia,129899,0,6,3838352.84,1.49107E+11,France,New Caledonia,None,None,None,None,New Caledonian,France,2,4,1,0,1,Political Parties,None,1,None
FSC,Chuuk,8977,0,2,372655.2113,9186361367,Micronesia,Chuuk,None,None,None,None,Micronesian,None,4,4,1,0,0,None,None,0,None
IDP,Papua,465220,0,1,3651604.832,4.71555E+11,Indonesia,None,None,None,None,None,Papuan,None,2,4,1,0,0,None,None,1,None
IDW,West Papua,273748,0,1,2511091.739,2.76028E+11,Indonesia,Papua,West Papua,None,None,None,West Papuan,None,4,4,1,1,1,Ongoing Conflict,None,1,None
NZL,New Munster Province,220176,0,7,3688350.105,4.27077E+11,New Zealand,New Munster Autonomous Province,South Island,None,None,None,Kiwi,None,1,1,1,0,0,None,None,0,None
COK,Cook Islands,3253109,0,7,9993408.648,3.58007E+12,New Zealand,Cook Islands,None,None,None,None,Cook Islander,None,2,4,1,0,1,Political Party,None,1,None
PND,New Ireland,138492,0,8,1839482.148,1.39864E+11,Papua New Guinea,New Ireland,None,None,None,None,Papua New Guinean,None,1,1,1,0,0,None,None,0,None
PNB,Bougainville,60396,0,8,1394224.276,61280662231,Papua New Guinea,Bougainville,None,None,None,None,Bougainvillean,None,2,4,1,0,1,2019 Independence Referendum,None,1,None
SBM,Malaita,21955,0,7,740447.0524,22650586826,Solomon Islands,Malaita,None,None,None,None,Solomon Islander,None,1,1,1,0,0,None,None,0,None
VUV,Vemerana,19989,0,5,590664.0771,21556979743,Vanatu,Republic of Vemerana,None,None,None,None,Ni-Vanuatu,None,4,4,1,0,0,None,None,0,None
SJM,Svalbard and Jan Mayen,150788,0,2,14864821.53,4.08025E+12,Norway,None,None,None,None,None,Svalbard people,None,2,4,1,0,0,None,None,1,None
HLG,Heligoland,9,0,8,21774.85254,24877254.17,Germany,None,None,None,None,None,Sylters,None,2,4,1,0,0,None,None,1,None
BSG,Büsingen,8,0,8,24074.42781,17009780.55,Germany,None,None,None,None,None,German,None,2,4,1,0,0,None,None,1,None
CDI,Campione d'Italia,3,0,4,10306.09106,5535249.303,Italy,None,None,None,None,None, Campionesi,None,2,4,1,0,0,None,None,1,None
SBS,Scarborough Shoal,227,0,7,61859.91973,244711148,China (PRC),Philippines,China (ROC),None,None,None,None,Nine-Dash Line,7,4,0,0,1,UNCLOS,None,0,China
SPI,Spratly Islands,694494,0,8,3555024.029,7.1792E+11,Multiple,China (PRC),China (ROC),Malaysia,Philippines,Vietnam,None,Nine-Dash Line,7,4,0,0,1,UNCLOS,None,0,China
HNS,Hans Island,2,0,2,33078.0908,82991116.04,None,Canada,Denmark,Greenland,None,None,None,None,7,4,0,0,1,UNCLOS,None,0,None
ROT,Rotuma,2783,0,8,197492.9928,2937985079,Fiji,None,None,None,None,None,Rotuman,None,2,4,1,0,0,None,None,1,None
BLM,Saint Barthélemy,1804,0,6,166243.4904,2002447345,France,None,None,None,None,None,Barthélemois,France,3,4,1,0,0,None,None,1,None
MAF,Saint Martin,802,0,6,168345.8215,892521857.4,France,None,None,None,None,None, Saint-Martinois,France,3,4,1,0,0,None,None,1,None
SPM,Saint Pierre and Miquelon,3607,0,6,362035.5143,7728770553,France,None,None,None,None,None,Saint-Pierrais,France,3,4,1,0,0,None,None,1,None
ADJ,Adjara,3913,0,5,399402.935,7018385358,Georgia,None,None,None,None,None,Adjaran,None,2,4,1,0,0,None,None,1,None
GOR,Gorkhaland,4587,0,5,480456.2429,5780263064,India,Kamtapur,None,None,None,None,Kamtapuri,Kamtapur,2,4,1,1,1,Militant Organization,None,1,Autonomous District of India
ASB,Assamese Bodoland,6384,0,5,946091.0254,8027919422,India,Assam,None,None,None,None,Asamese,Assam,2,4,1,1,1,Ongoing Military Conflict,None,1,Autonomous District of India
GRO,Garo Hills,8142,0,5,518987.6907,10049050104,India,None,None,None,None,None,Indian,Autonomous District of India,2,4,1,0,0,None,None,1,None
JIH,Jaintia Hills,3842,0,5,347417.5689,4726692208,India,None,None,None,None,None,Indian,Autonomous District of India,2,4,1,0,0,None,None,1,None
KSH,Khasi Hills,10463,0,5,651505.7402,12913143568,India,None,None,None,None,None,Indian,Autonomous District of India,2,4,1,0,0,None,None,1,None
KBA,Karbi Anglong,7266,0,5,584066.3528,9056480239,India,Assam,None,None,None,None,Indian,Assam,2,4,1,1,1,Ongoing Military Conflict,None,1,Autonomous District of India
DMH,Dima Hasao,4847,0,5,456409.5653,5963477776,India,Assam,None,None,None,None,Asamese,Assam,2,4,1,1,0,Ongoing Military Conflict,None,1,Autonomous District of India
SDH,Sadar Hills,3526,0,5,678037.4138,4325252173,India,Manipur,None,None,None,None,Indian,Autonomous District of India,2,4,1,1,1,Ongoing Military Conflict,None,1,Manipur
LAI,Lai,1913,0,5,384037.4865,2249304393,India,None,None,None,None,None,Indian,Autonomous District of India,2,4,1,0,0,None,None,1,None
CAC,Chakma,888,0,5,252948.8336,1045327037,India,None,None,None,None,None,Indian,Autonomous District of India,2,4,1,0,0,None,None,1,None
MRA,Mara,1458,0,5,240713.0355,1710461654,India,None,None,None,None,None,Indian,Autonomous District of India,2,4,1,0,0,None,None,1,None
TRP,Tripura,10349,0,5,741319.9191,12406523071,India,None,None,None,None,None,Tripuris,Autonomous District of India,2,4,1,0,0,None,None,1,None
IJK,Indian Jammu and Kashmir,42792,0,5,1279216.985,61795703607,India,Jammu and Kashmir,Pakistan,None,None,None,Jammuite and Kashimiris,India,8,4,1,1,1,Ongoing Military Conflict,None,1,Jammu and Kashmir
KRG,Kargil,14048,0,5,892325.7353,20451130890,India,Jammu and Kashmir,Pakistan,None,None,None,Jammuite and Kashimiris,India,8,4,1,1,1,Ongoing Military Conflict,Autonomous District of India,1,Jammu and Kashmir
NSI,North Sentinel Island,326,0,5,67643.40864,341455056.2,India,None,None,None,None,None,Sentinelese,India,2,4,1,1,0,Sentinelese Tribe,None,1,Autonomous District of India
YOG,Yogyakarta,5486,0,1,355944.1325,5631055705,Indonesia,None,None,None,None,None,Yogyakartan,None,2,4,1,0,0,None,None,1,None
TAA,Trentino-Alto Adige,6276,0,4,700059.1558,13068845674,Italy,North Italy,None,None,None,None,Trentino-Alto Adigan,Trentino-Alto Adige,2,4,1,0,1,Poltical Parties,None,1,North Italy
MXC,Mexico City,1536,0,3,187356.5942,1732850918,Mexico,None,None,None,None,None,Capitalino,None,2,4,1,0,0,None,None,1,None
MMR,Myanmar,122796,1,8,3324026.757,1.32117E+11,Myanmar,None,None,None,None,None,Burmese,None,1,1,1,0,0,None,None,0,None
KKZ,Kokang Self-Administred Zone,1910,0,8,285621.3238,2292780870,Myanmar,Shan State,Kokang,None,None,None,Shan,Myanmar Self-Administered Zones,2,4,1,0,1,Militant Organization,None,1,Kokang
SHS,Shan State,7294,0,8,444783.9744,8739200476,Myanmar,Shan State,Kokang,None,None,None,Shan,None,4,4,1,0,0,Militant Organization,None,0,None
EMC,Emberá Comarca,3964,0,6,428504.9192,4073322174,Panama,None,None,None,None,None,Panamanian,Panamanian Indigenous Territory,4,4,1,0,0,None,None,1,None
PAM,Madungandí,2314,0,6,273472.2,2389128400,Panama,None,None,None,None,None,Panamanian,Panamanian Indigenous Territory,2,4,1,0,0,None,None,1,None
KDW,Kuna de Wargandí,968,0,6,145464.37,998103087,Panama,None,None,None,None,None,Panamanian,Panamanian Indigenous Territory,2,4,1,0,0,None,None,1,None
GNG,Guna Yala,3635,0,6,608301.7421,3755384968,Panama,None,None,None,None,None,Panamanian,Panamanian Indigenous Territory,2,4,1,0,0,None,None,1,None
NBC,Ngäbe-Buglé Comarca,8646,0,6,577769.0537,8907606322,Panama,None,None,None,None,None,Panamanian,Panamanian Indigenous Territory,2,4,1,0,0,None,None,1,None
NTC,Naso Tjër Di Comarca,1320,0,6,172081.8687,1363732045,Panama,None,None,None,None,None,Panamanian,Panamanian Indigenous Territory,2,4,1,0,0,None,None,1,None
MAD,Madeira,10042,0,4,553744.35,14241935645,Portugal,None,None,None,None,None,Madeirense,None,2,4,1,0,0,None,None,1,None
AZS,Azores,32056,0,4,1660071.091,52112192840,Portugal,None,None,None,None,None,Açoriano,None,2,4,1,0,0,None,None,1,None
TBG,Tobago,394,0,1,100812.5592,411670132.6,Trinidad and Tobago,None,None,None,None,None,Tobagonian,None,2,4,1,0,0,None,None,1,None
KBR,Kuhistani Badakhshan Autonomous Region,63634,0,6,2074455.652,1.02956E+11,Takikistan,None,None,None,None,None,Tadzhik,None,2,4,1,0,0,None,None,1,None
JJO,Jejudo,7618,0,5,414143.2311,10948324704,"Korea, South",North Korea,None,None,None,None,South Korean,Korea,2,4,1,0,1,Ongoing War,None,1,None
PNT,Puntland,87302,0,7,1321841.029,90793247494,Somalia,None,None,None,None,None,Somali,Somali Peoples,2,4,1,0,0,None,None,1,None
PCE,Principe,7178,0,2,340606.3088,7230918479,Sao Tome and Principe,None,None,None,None,None,Principen,None,2,4,1,0,0,None,None,1,None
ABW,Aruba,2936,0,7,209369.4424,3100076884,Netherlands,None,None,None,None,None,Aruban,ABC Islands,2,4,1,0,0,None,None,1,None
BES,Sint Eustatius and Saba,3356,0,7,220151.5057,3069973509,Netherlands,None,None,None,None,None,St. Eustatian and Sabans,BES Islands,2,4,1,0,0,None,None,0,None
NIU,Niue,3134,0,7,214532.9509,3526495204,New Zealand,Cook Islands,None,None,None,None,Niuean,None,2,4,1,0,1,Political Party,None,1,None
TKL,Tokelau,2569,0,7,185284.2542,2652468208,New Zealand,Cook Islands,None,None,None,None,Tokelauan,None,2,4,1,0,1,Political Party,None,1,None
GGY,Guernsey,3815,0,5,376533.3045,9062949913,United Kingdom,None,None,None,None,None,Giernesi,None,2,4,1,0,0,None,None,1,None
JEY,Jersey,2429,0,5,303453.7415,5666777263,United Kingdom,None,None,None,None,None,Islanders,None,2,4,1,0,0,None,None,1,None
BMU,Bermuda,2981,0,5,237284.45,4185193846,United Kingdom,None,None,None,None,None,Bermudian,None,2,4,1,0,0,None,None,1,None
CYM,Cayman Islands,7305,0,5,487624.2873,8265173159,United Kingdom,None,None,None,None,None,Caymanian,None,2,4,1,0,0,None,None,1,None
AIA,Anguilla,4338,0,5,327900.6481,4844260067,United Kingdom,None,None,None,None,None,Anguillan,None,2,4,1,0,0,None,None,1,None
VGB,British Virgin Islands,5219,0,5,332142.4439,5837978513,United Kingdom,None,None,None,None,None,British Virgin Islander,None,2,4,1,0,0,None,None,1,None
MSR,Montserrat,2254,0,5,183789.7938,2470999192,United Kingdom,None,None,None,None,None,Montserratian,None,2,4,1,0,0,None,None,1,None
PHM,Phnom Penh,702,0,5,144905.5466,735721913.8,Cambodia,None,None,None,None,None,Phnom Penher,None,2,4,1,0,0,None,None,1,None
BNG,Bangui,68,0,3,50989.16454,68962693.86,Central African Republic,None,None,None,None,None,Central African,None,2,4,1,0,0,None,None,1,None
BSU,Bissau,187,0,2,55540.75617,196305880.9,Guinea-Bissau,None,None,None,None,None,Bissauan,None,2,4,1,0,0,None,None,1,None
JAK,Jakarta,680,0,1,106820.0699,692991627.5,Indonesia,None,None,None,None,None,Jakartans,None,2,4,1,0,0,None,None,1,None
TSK,Tashkent,315,0,5,109870.09,558940415.1,Uzbekistan,None,None,None,None,None,Uzbekistani,None,2,4,1,0,0,None,None,1,None
SJC,Sejong City,497,0,5,127703.9773,771585735.6,"Korea, South",North Korea,None,None,None,None,South Korean,Korea,2,4,1,0,1,Ongoing War,None,1,None
PLN,Pailin,1082,0,5,148519.1272,1145793308,Cambodia,None,None,None,None,None,Cambodian,None,2,4,1,0,0,None,None,1,None
KEP,Kep,168,0,5,65217.03353,174677691.6,Cambodia,None,None,None,None,None,Cambodian,None,2,4,1,0,0,None,None,1,None
SKV,Sihanoukville,93,0,5,37278.06882,96996361.5,Cambodia,None,None,None,None,None,Cambodian,None,2,4,1,0,0,None,None,1,None
BOT,Overseas British Territories,457339,0,5,827017.199,20785756617,United Kingdom,None,None,None,None,None,British,None,1,1,1,0,0,None,None,0,None
ADG,Adygea,10543,0,1,1090244.221,20784415414,Russia,Circassia,Kuban,None,None,None,Circassian,Autonomous Russian Republics,2,4,1,0,1,Adyge Djegi,None,1,None
ATI,Altai Republic,93268,0,1,2591001.825,2.32795E+11,Russia,Siberian Republic,None,None,None,None,Siberian,Autonomous Russian Republics,2,4,1,0,1,Siberian regionalism,None,1,None
IGA,Ingushetia,3067,0,1,545793.1318,5771105727,Russia,Circassia,None,None,None,None,Circassian,Autonomous Russian Republics,2,4,1,0,1,Ingush People Council,None,1,None
